bus_id,route_id,route_nm,route_ord,node_id,ars_id,node_nm,lngt,la
b023798,111000018,8701,35,101000020,2113,서대문경찰서.농협은행.유관순활동터,126.9677868,37.56490628
b023799,100100345,7611,35,113000008,14008,마포경찰서,126.9553048,37.55077036
b023800,100100055,340,35,123000091,24180,석촌역.잠실한솔아파트,127.1052846,37.50451546
b023801,100100354,7723,35,111000141,12230,삼천리골입구56사단북한산부대,126.9351168,37.65034464
b023802,100100500,4312,35,122000121,23224,농협대치지점,127.0611545,37.49793697
b023803,100100138,1120,35,108000057,9145,신일병원,127.0212163,37.63438712
b023804,100100076,500,35,102000005,3005,용산우체국,126.970235,37.53149701
b023805,100100080,505,35,119000021,20107,공군호텔,126.9245411,37.51001067
b023806,100100026,147,35,101000085,2187,신당동떡볶이타운.중구여성플라자,127.015095,37.562798
b023807,100100341,7022,35,101000034,2131,삼성본관앞,126.9759075,37.56205175
b023808,100100595,241,35,105000098,6184,동아제약앞,127.0304425,37.57259937
b023809,100100130,1017,35,103000006,4103,왕십리센트라스아파트,127.024807,37.565215
b023810,100100181,1224,35,106000013,7107,지하철7호선중화역,127.0791563,37.60264857
b023811,100100025,146,35,106000013,7107,지하철7호선중화역,127.0791563,37.60264857
b023812,110000004,8146,35,106000013,7107,지하철7호선중화역,127.0791563,37.60264857
b023813,100100258,5522B호암,35,120000074,21176,삼성산성지,126.92989,37.458613
b023814,100100587,705,35,101000141,2246,을지로입구역.광교,126.982562,37.56765
b023815,100100550,662,35,118000054,19139,여의나루역,126.93148,37.527457
b023816,100100032,163,35,112000086,13169,서울여자간호대학교.홍은초등학교,126.9487052,37.59564203
b023817,100100012,107,35,109000001,10001,도봉산역,127.0455054,37.68903596
b023818,100100099,652,35,114000228,15332,양서중학교,126.830955,37.531548
b023819,100100362,7733,35,113000129,14220,합정역,126.9153072,37.5502177
b023820,124900002,강동01,35,123900003,24504,풍납동극동.쌍용아파트,127.1184114,37.52639886
b023821,120900008,관악02,35,120900181,21738,낙성대공원.관악복합평생교육센터,126.958766,37.472205
b023822,100100521,6515,35,120000019,21118,KT&G관악지점,126.936125,37.484533
b023823,120900007,관악08,35,120000165,21267,관악산휴먼시아아파트1단지입구,126.92163,37.460993
b023824,121900004,서초20,35,121900320,22598,청계산입구역,127.055016,37.449126
b023825,100100093,640,35,121000022,22022,신반포역.세화여중고,126.994697,37.503052
b023826,119900007,동작01,35,119900255,20896,중앙대중문,126.9573559,37.50648935
b023827,121900012,서초15,35,121900149,22929,카페골목입구,126.9873182,37.49161375
b023828,104000012,411,35,121000020,22020,고속터미널,127.003922,37.505843
b023829,100100210,2413,35,122000343,23457,개포중학교,127.063631,37.480019
b023830,115900007,강서07,35,115900158,16957,방화동삼익아파트,126.8132285,37.57680692
b023831,122900009,강남10,35,122000129,23232,그랑프리백화점,127.0557033,37.49025786
b023832,114000002,8641,35,119000036,20129,비계,126.9680258,37.50630169
b023833,115900005,강서05,35,115900189,16968,원당근린공원앞,126.8417736,37.55935034
b023834,103000002,N824,35,122000102,23205,삼성동서광아파트,127.042455,37.517323
b023835,100100137,1119,35,109000066,10151,창동주공18단지,127.0530436,37.64706252
b023836,120000002,N850,35,102000191,3285,한남역.용산노인종합복지관,127.0067957,37.53122393
b023837,124000030,2312A,35,106000435,7008,망우역.망우지구대,127.0948711,37.598558
b023838,113900015,마포09,35,113900199,14952,구)망원우체국사거리,126.9072824,37.55790161
b023839,100100596,400,35,102000157,3251,신용산.지하차도,126.963667,37.532835
b023840,100100416,6005,35,101000229,2664,바비엥스위트,126.9676373,37.56510899
b023841,115900003,강서02,35,115900066,16567,화곡초교,126.8465565,37.54358481
b023842,100100420,6013,35,105000429,6777,경남관광호텔,127.070482,37.570577
b023843,115900002,강서06,35,115900128,16932,변전소,126.8378903,37.57070784
b023844,100100186,2012,35,104000013,5106,중곡1동주민센터입구,127.078402,37.560877
b023845,100100407,240,35,104000010,5103,메리놀외방선교회,127.077338,37.55895
b023846,100100234,4212,35,104000036,5129,면곡시장앞,127.083282,37.570795
b023847,100100599,2311,35,104000019,5112,중곡2동주민센터앞,127.0808553,37.55988373
b023848,104000010,2416,35,122000064,23166,청담동주민센터,127.049332,37.524615
b023849,123000011,708,35,100000018,1113,사직단.어린이도서관,126.9679907,37.57513553
b023850,117000001,N852,35,122000065,23167,청담동주민센터,127.051348,37.524522
b023851,122000001,4435,35,121000200,22276,우성아파트.양재초등학교,127.032753,37.474668
b023852,114900003,양천03,35,114900069,15567,목동프라자,126.8592177,37.51950794
b023853,119900009,동작08,35,119000127,20222,경향렉스빌.롯데캐슬비엔,126.9427353,37.49598532
b023854,100100224,3412,35,123000584,24233,한성백제박물관,127.1193,37.515525
b023855,119900022,동작05,35,119900279,20995,보라매역.동작세무서,126.9202294,37.49799255
b023856,110000005,8101,35,100000394,1019,종로5가.광장시장,126.999061,37.570787
b023857,101000005,심야A21,35,100000388,1013,종로2가,126.984991,37.57017
b023858,117900005,금천08,35,117900038,18842,산기슭공원B,126.906804,37.46393175
b023859,100100111,720,35,100000390,1015,종로3가.탑골공원,126.989269,37.57025677
b023860,111900013,금천01-1,35,117900148,18553,독산역,126.8898144,37.46605005
b023861,100100585,N37,35,100000385,1010,광화문,126.9778895,37.57026794
b023862,100100007,102,35,100000118,1214,동대문,127.0084126,37.57172624
b023863,116900009,구로05,35,116900260,17407,그랜드아파트.홍진연립,126.8479449,37.50800765
b023864,117900001,금천05,35,213000428,38526,하안주공13단지상가,126.8857077,37.45924977
b023865,100100584,6010,35,161000611,92701,인천공항T2-3층,126.4344306,37.46645715
b023866,100100383,8541,35,121000089,22165,진흥아파트,127.0237031,37.49772334
b023867,100100589,N61,35,121000071,22147,서초중학교,127.0088053,37.48338792
b023868,122000006,N6703,35,161000332,92606,공항입구JC,126.5083067,37.5061658
b023869,100100189,2014,35,101000074,2173,동대문역사문화공원,127.0083555,37.56735414
b023870,100100034,162,35,118000071,19156,여의도역,126.924816,37.521291
b023871,100100042,260,35,100000389,1014,종로2가,126.986536,37.570238
b023872,100100610,N15,35,100000395,1020,종로5가.광장시장,126.999606,37.570931
b023873,100100006,101,35,100000393,1018,종로4가.종묘,126.995396,37.570637
b023874,121900001,서초21,35,121000066,22142,서초동삼성아파트,127.0089653,37.48851159
b023875,121900006,서초11,35,121900134,22894,서초유스센터,127.0101626,37.48617223
b023876,100100414,6003,35,120000395,21832,봉천역,126.941497,37.482711
b023877,100100440,700,35,112000005,13005,모래내시장.가좌역,126.9150628,37.56907741
